fileid,labsamplename,labcategoryname,labcategorycode,labtestname,labtestcode,unit,result,resultasnumeric,resultmathoperation,asbestosdetected,labsampletype
-1,K22-De0001396,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,No,,,,Solid
-1,K22-De0001396,Asbestos in Soils (AS 4964-2004),,Sample Description,,,Fine grained soil and rocks,,,,Solid
-1,K22-De0001396,Asbestos in Soils (AS 4964-2004),,Asbestos Content (as asbestos),,,<0.01,0.0100,<,,Solid
-1,K22-De0001396,Asbestos in Soils (AS 4964-2004),,Received Weight,,,637.51,637.5100,,,Solid
-1,K22-De0001396,Asbestos in Soils (AS 4964-2004),,Total Analytical Fraction,,,478.44,478.4400,,,Solid
-1,K22-De0001396,Asbestos in Soils (AS 4964-2004),,Total Dry Mass,,,478.44,478.4400,,,Solid
-1,K22-De0001396,Asbestos Fines (AF) < 10 mm,,AF Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001396,Asbestos Fines (AF) < 10 mm,,Total AF,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001396,Asbestos Containing Materials (ACM) >10 mm,,Total ACM (> 10mm),,,<0.1,0.1000,<,,Solid
-1,K22-De0001396,Asbestos (Presence/Absence),,Asbestos type,,,Chrysotile (White Asbestos) detected,,,,Solid
-1,K22-De0001396,Asbestos (Presence/Absence),,Asbestos form,,,-,,,,Solid
-1,K22-De0001396,,,Asbestos Sample Description,,,,,,,Solid
-1,K22-De0001396,,,% Moisture,,,,,,,Solid
-1,K22-De0001395,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Asbestos NOT detected,,,Not Detected,Solid
-1,K22-De0001395,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,-,,,,Solid
-1,K22-De0001395,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,-,,,,Solid
-1,K22-De0001395,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,-,,,,Solid
-1,K22-De0001395,Metals,,Lead,,,,,,,Solid
-1,K22-De0001395,Metals,,Arsenic,,,,,,,Solid
-1,K22-De0001395,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001395,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001395,Metals,,Copper,,,,,,,Solid
-1,K22-De0001395,Metals,,Nickel,,,,,,,Solid
-1,K22-De0001395,Metals,,Zinc,,,,,,,Solid
-1,K22-De0001395,Heavy Metals,,Copper,,,,,,,Solid
-1,K22-De0001395,Heavy Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001395,Heavy Metals,,Chromium,,,,,,,Solid
-1,K22-De0001395,Fibrous Asbestos (FA) >10 mm,,Total FA,,,,,,,Solid
-1,K22-De0001395,Fibrous Asbestos (FA) >10 mm,,FA % asbestos (weighted average),,,,,,,Solid
-1,K22-De0001395,Fibrous Asbestos (FA) >10 mm,,FA Asbestos in Soil,,,,,,,Solid
-1,K22-De0001395,Fibrous Asbestos (FA) <10 mm,,Total FA,,,,,,,Solid
-1,K22-De0001395,Fibrous Asbestos (FA) <10 mm,,FA % asbestos (weighted average),,,,,,,Solid
-1,K22-De0001395,Fibrous Asbestos (FA) <10 mm,,FA Asbestos in Soil,,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (NZ GAMAS),,Weight (>10 mm),,,,,,,Solid
