Lab sample ID,,K22-De0001355,K22-De0001356,K22-De0001357,K22-De0001358,K22-De0001359,K22-De0001360,K22-De0001361,K22-De0001362,K22-De0001363,K22-De0001364,K22-De0001365,K22-De0001366,K22-De0001367,K22-De0001368,K22-De0001369,K22-De0001370,K22-De0001371,K22-De0001372,K22-De0001373,K22-De0001374,K22-De0001375,K22-De0001376,K22-De0001377,K22-De0001378,K22-De0001379,K22-De0001380,K22-De0001381,K22-De0001382,K22-De0001383,K22-De0001384,K22-De0001385,K22-De0001386,K22-De0001387,K22-De0001388,K22-De0001389,K22-De0001390,K22-De0001391,K22-De0001392,K22-De0001393,K22-De0001394,K22-De0001395,K22-De0001396,K22-De0001397

Sample location,,13ASH_CHA01_0.0,13ASH_CHA02_0.0,13ASH_CHA03_0.0,13ASH_CHA04_0.0,13ASH_CHA05_0.0,13ASH_CHA06_0.0,15ASH_CHA07_0.0,15ASH_CHA08_0.0,15ASH_CHA09_0.0,15ASH_CHA10_0.0,15ASH_CHA11_0.0,15ASH_CHA12_0.0,13ASH_DUP01,13ASH_CURT_CURTILAGE 1&2,13ASH_CURT01_0.0,13ASH_CURT02_0.0,15ASH_CURT_CURTILAGE 1&2,15ASH_CURT01_0.0,15ASH_CURT02_0.0,13ASH_CHA01_0.3,13ASH_CHA01_0.5,13ASH_CHA02_0.3,13ASH_CHA02_0.5,13ASH_CHA03_0.3,13ASH_CHA03_0.5,13ASH_CHA04_0.3,13ASH_CHA04_0.5,13ASH_CHA05_0.3,13ASH_CHA05_0.5,13ASH_CHA06_0.3,13ASH_CHA06_0.5,15ASH_CHA07_0.3,15ASH_CHA07_0.5,15ASH_CHA08_0.3,15ASH_CHA08_0.5,15ASH_CHA09_0.3,15ASH_CHA09_0.5,15ASH_CHA10_0.3,15ASH_CHA10_0.5,15ASH_CHA11_0.3,15ASH_CHA11_0.5,15ASH_CHA12_0.3,15ASH_CHA12_0.5
Cadmium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.24,,,,

Chromium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,90,,,,

Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,51,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Metals M7 (NZ MfE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Arsenic,,6.2,9,8,6.8,22,9.1,8.2,9.6,5.5,13,8.7,8.2,5.3,7.5,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,

Cadmium,,0.15,0.3,0.29,0.26,0.61,0.17,0.15,0.15,0.18,0.95,0.23,0.22,0.31,0.21,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,

Chromium,,77,68,74,69,76,71,73,68,75,160,73,72,72,70,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,

Copper,,49,36,66,41,64,43,40,43,42,93,44,43,29,37,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,

Lead,,150,49,35,33,47,22,38,30,23,86,28,50,38,37,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,

Nickel,,51,43,53,43,47,52,58,45,40,56,51,43,42,48,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,

Zinc,,100,180,160,170,200,130,110,120,100,360,130,110,130,150,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Metals M8 (NZ MfE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Arsenic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 0.1,5.2,,,,,,,,,4.9,5.5,,,,

